District,Municipality,Administrative Unit,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout
Durres,Durres,Katund I Ri,1875,2878,256,276,12392,5009,5285,7107
Durres,Durres,Manez,1976,1640,277,221,9218,3893,4114,5104
Durres,Durres,Rrashbull,5946,4846,1226,602,26614,12018,12620,13994
Durres,Durres,Sukth,3650,3791,871,594,22209,8312,8906,13303
Durres,Durres,Durres,37512,29322,5623,3268,181322,72457,75725,105597
Durres,Kruje,Bubq,1672,1227,288,165,6875,3187,3352,3523
Durres,Kruje,Cudhi,739,494,80,68,2164,1313,1381,783
Durres,Kruje,Fushe Kruje,5354,4463,1057,567,20713,10874,11441,9272
Durres,Kruje,Koder Thumane,3298,2506,307,326,12766,6111,6437,6329
Durres,Kruje,Kruje,2559,3382,1099,402,12941,7040,7442,5499
Durres,Kruje,Nikel,3008,2004,221,311,8278,5233,5544,2734
Durres,Shijak,Gjepalaj,987,835,306,93,4653,2128,2221,2432
Durres,Shijak,Maminas,1490,707,153,179,6039,2350,2529,3510
Durres,Shijak,Shijak,2689,1529,281,226,10768,4499,4725,6043
Durres,Shijak,Xhafzotaj,2819,2778,389,364,14900,5986,6350,8550
Elbasan,Belsh,Belsh,2480,1912,201,305,11638,4593,4898,6740
